"","ID","ti","W1","W2","EY1_1","EY1_2","EY1_3","EY1_4","EY1_5","EY0_1","EY0_2","EY0_3","EY0_4","EY0_5"
"166",34,4,1,84,0.645178675911383,0.58625301543346,0.517513022994988,0.469599485799693,0.466478849861376,0.523345647336179,0.51926371866551,0.498141565689688,0.489831577277142,0.494089919978094
"171",35,4,2,98,0.522099691296311,0.552713413614654,0.561250051154368,0.5668283996627,0.584340823503896,0.582190935563681,0.619228150844195,0.609703140601341,0.599195029262919,0.59923525207142
"176",36,4,2,77,0.517028047906685,0.546765929789554,0.556811427438658,0.561618945165493,0.579227007981482,0.578841238221569,0.618830960026906,0.606094278184584,0.593209514637883,0.592709308737699
"181",37,4,1,21,0.681920752358123,0.587962011336514,0.482835993199713,0.40837515671653,0.397279644592666,0.516075831978427,0.492800592074167,0.45563002661403,0.447394393274294,0.457323897351435
"186",38,4,2,182,0.542330383725734,0.576336495226312,0.578899956097764,0.587507992246908,0.604604958862714,0.595511188915851,0.620815314609721,0.62401542565836,0.622826671513668,0.624968375535295
"191",39,5,1,169,0.592835270989922,0.583943938637248,0.563972881101465,0.553324294100646,0.561413589677699,0.533137909223278,0.554770362645329,0.555427534176337,0.547207414595974,0.543722700615235
"196",40,5,2,85,0.518960573081784,0.549033306444655,0.558503441072757,0.563605165808632,0.581177196331924,0.580118186943133,0.618982289590085,0.607470471612564,0.595493079296223,0.595199375630525
"201",41,5,1,56,0.661752316328358,0.587012828216852,0.502101980471306,0.442162639915196,0.4353997135752,0.520115655816425,0.507506843767662,0.479207532068324,0.47091585088673,0.477717819875803
"206",42,5,1,105,0.632513030709723,0.585682886071373,0.529051080800065,0.490307675159343,0.489973742148147,0.525766874949261,0.528068107355091,0.512348562827163,0.504040482272029,0.506379243371555
"211",43,5,1,133,0.615339491408243,0.584922356616783,0.544384895407395,0.517958092507871,0.521351280517876,0.52899327503823,0.539779248902021,0.531256287042159,0.522971580640472,0.522750462762575
"216",44,5,1,232,0.552554858625409,0.582230118684644,0.597741988573992,0.613736439882949,0.62934966717258,0.54037968504391,0.580750916625806,0.597038189746992,0.589020706564963,0.580010860552095
"221",45,5,2,120,0.52740794117394,0.558927944645685,0.565889537483578,0.572270104680154,0.589678726039996,0.585692022852779,0.619644084445387,0.61347101083711,0.605433954297747,0.606034371334309
"226",46,5,2,42,0.508568023895861,0.536824551429527,0.54939386475655,0.552906809122994,0.570666593696871,0.573242391958036,0.618168622192692,0.600053879930994,0.583172694251556,0.581760752683596
"231",47,5,1,365,0.465877842383996,0.578605572891501,0.665746937974045,0.72880606576927,0.75507656720729,0.555608372187804,0.6339982082711,0.679856785316508,0.672588339532071,0.653432865075842
"236",48,5,1,42,0.669895599944924,0.587392579497004,0.494393129282055,0.428564983134607,0.420033156849368,0.51850001227732,0.501624476803673,0.469759476565396,0.461485830014825,0.469547492797119
"241",49,5,1,278,0.522669865068856,0.58097750001199,0.621844619530945,0.655839314705047,0.676058650972918,0.545656755717248,0.599450292408888,0.626596157374914,0.618793085699898,0.605993368389681
"246",50,5,2,184,0.54281063537955,0.576895157975421,0.579317928899067,0.587996920083266,0.605083379038019,0.595826711597094,0.620853072876818,0.62435367855062,0.6233827583257,0.625573172748304
"251",51,5,3,21,0.616169852524064,0.626822031527483,0.62195687973522,0.642692373154064,0.646519690966949,0.13133605221484,0.23144651523146,0.265895081519411,0.287342821475662,0.302843563956157
"256",52,5,1,129,0.617811658650696,0.585031028547643,0.542198811732822,0.514010814362465,0.516873309585114,0.528532502713347,0.538108611507283,0.528559402878154,0.520269906480901,0.520413886733857
"261",53,5,3,105,0.540467560375218,0.544462838774525,0.538781563874056,0.554438045448845,0.553605748360326,0.254671711372756,0.353974790612259,0.392667323660852,0.422916579485054,0.448923521703973
"266",54,6,1,42,0.669895599944924,0.587392579497004,0.494393129282055,0.428564983134607,0.420033156849368,0.51850001227732,0.501624476803673,0.469759476565396,0.461485830014825,0.469547492797119
"271",55,6,3,156,0.493336516128189,0.492930693713278,0.486887546605279,0.498729200676864,0.494840107843644,0.359204841005267,0.440727916233336,0.478934125663995,0.512987983607192,0.544068755686599
"276",56,6,2,86,0.51920210003356,0.549316587373804,0.558714848115111,0.563853301329778,0.581420792921595,0.580277730506489,0.619001204161576,0.607642376307406,0.595778236563573,0.59551029257111
"281",57,6,1,28,0.677938247807801,0.58777222680462,0.48668694307496,0.415074343711691,0.4048200783868,0.516883981790703,0.495741660116253,0.460333046282255,0.452083291426148,0.461393456394449
"286",58,6,1,28,0.677938247807801,0.58777222680462,0.48668694307496,0.415074343711691,0.4048200783868,0.516883981790703,0.495741660116253,0.460333046282255,0.452083291426148,0.461393456394449
"291",59,6,3,230,0.425382080964252,0.418714228672407,0.412383420042454,0.418320825572081,0.410254625125559,0.53480992968708,0.571771956307483,0.604952107910388,0.640686219658464,0.674948364810373
"296",60,6,2,49,0.510260576614341,0.53881542709785,0.550879242792202,0.554652013373842,0.572382233349871,0.574363711977739,0.618301124992454,0.601264459976239,0.585185864756774,0.583957285931339
"301",61,6,1,217,0.562228939692565,0.582638352856486,0.58977286821234,0.599594448281296,0.613526365606724,0.538656883118373,0.574599988898448,0.587233547959562,0.579157882746403,0.571433904178699
"306",62,6,2,28,0.50518236792834,0.532839338845037,0.546420491829817,0.549412528681168,0.567230255242909,0.570997502775541,0.617903563865402,0.597629063838823,0.579138085069792,0.57735802703949
"311",63,6,1,70,0.653512050748267,0.586632973387673,0.50980983246759,0.455847564752958,0.450891385497046,0.52173087872025,0.513387132968356,0.488670485189129,0.480366678342772,0.485900087499478
"316",64,6,3,59,0.582388936089197,0.590170159295418,0.58490848610619,0.603576371779816,0.605399398319238,0.179410086622564,0.283048608875429,0.320075630258662,0.345693994301726,0.366015507141548
"321",65,6,2,154,0.535599000202421,0.568495341235689,0.573036719266752,0.580645282552423,0.597886416540065,0.591085689740684,0.620286545389881,0.61926731158235,0.61500806883226,0.616460985150737
"326",66,6,2,105,0.523789278819039,0.554692646367354,0.56272745311364,0.568561665442742,0.586041457910597,0.583305834467398,0.619360512365456,0.610903452538331,0.601183736677931,0.601402890991385
"331",67,6,1,133,0.615339491408243,0.584922356616783,0.544384895407395,0.517958092507871,0.521351280517876,0.52899327503823,0.539779248902021,0.531256287042159,0.522971580640472,0.522750462762575
"336",68,6,2,113,0.525719567195936,0.556952500752005,0.564414549377515,0.570540483869333,0.587982528845548,0.584578961493468,0.619511760954763,0.612273592470199,0.603452461020549,0.603875329474856
"341",69,6,1,28,0.677938247807801,0.58777222680462,0.48668694307496,0.415074343711691,0.4048200783868,0.516883981790703,0.495741660116253,0.460333046282255,0.452083291426148,0.461393456394449
"346",70,6,2,42,0.508568023895861,0.536824551429527,0.54939386475655,0.552906809122994,0.570666593696871,0.573242391958036,0.618168622192692,0.600053879930994,0.583172694251556,0.581760752683596
